"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\Navbar.jsx", "JavaScript JSX", 125, 0, 4, 21, 150
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\OKlubu\AboutClub.css", "CSS", 0, 106, 0, 18, 124
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\OKlubu\AboutClub.jsx", "JavaScript JSX", 89, 0, 1, 8, 98
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\OKlubu\ButtonOrganization.jsx", "JavaScript JSX", 17, 0, 1, 5, 23
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\OKlubu\FImages.jsx", "JavaScript JSX", 66, 0, 1, 7, 74
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\OKlubu\FullGallery.css", "CSS", 0, 68, 0, 9, 77
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\OKlubu\FullGallery.jsx", "JavaScript JSX", 40, 0, 4, 10, 54
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\Overlay.jsx", "JavaScript JSX", 11, 0, 1, 4, 16
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ProtectedRoute.jsx", "JavaScript JSX", 10, 0, 1, 8, 19
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\ScrollToTop.jsx", "JavaScript JSX", 17, 0, 1, 9, 27
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\YOUNG-subpages\Gallery.css", "CSS", 0, 98, 0, 19, 117
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\YOUNG-subpages\Gallery.jsx", "JavaScript JSX", 41, 0, 4, 11, 56
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\YOUNG-subpages\MainPageY.css", "CSS", 0, 143, 0, 26, 169
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\YOUNG-subpages\MainPageY.jsx", "JavaScript JSX", 73, 0, 1, 10, 84
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\YOUNGERS\Young.css", "CSS", 0, 21, 0, 2, 23
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\YOUNGERS\Young.jsx", "JavaScript JSX", 50, 0, 1, 6, 57
"c:\Users\Lukáš Krejčí\Desktop\SKROZHOVICE\SkRozhovice---site\src\components\YouthDropdown.jsx", "JavaScript JSX", 19, 0, 1, 6, 26
"Total", "-", 4096, 4487, 147, 1473, 10203
